modified,license,rightsHolder,bibliographicCitation,references,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,occurrenceRemarks,recordedBy,individualCount,sex,lifeStage,preparations,otherCatalogNumbers,samplingProtocol,samplingEffort,eventDate,eventTime,year,month,day,verbatimEventDate,habitat,country,stateProvince,county,municipality,locality,locationRemarks,verbatimCoordinates,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceRemarks,identifiedBy,dateIdentified,scientificName,genus,specificEpithet,scientificNameAuthorship
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745449,FLMNH,MGCL,FLMNH,PreservedSpecimen,,9b751128-a3c1-4df9-ad89-447852a6d521,MGCL_1032291,,J.C. Downey,,male,,,,,,7/1/1973,,1973,7,1,7/1/1973,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.398,-95.245,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745450,FLMNH,MGCL,FLMNH,PreservedSpecimen,,fd19332e-e58f-4b8a-a223-b5be0f254d7d,MGCL_1032292,,J.C. Downey,,male,,,,,,6/30/1973,,1973,6,30,6/30/1973,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.398,-95.245,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745451,FLMNH,MGCL,FLMNH,PreservedSpecimen,,ca22977b-fac0-4902-915d-24e50bbeaf99,MGCL_1032294,,,,female,,,,,,7/14/1983,,1983,7,14,7/14/1983,,United States,Iowa,Emmet,,Estherville,,,43.42,-94.87,WGS84,1130,C. Grinter,,GeoLocate,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745452,FLMNH,MGCL,FLMNH,PreservedSpecimen,,d29f6db9-a35e-4fcd-96fc-1eef6cd72344,MGCL_1032295,,B. Weber,,male,,,,,,7/2/1975,,1975,7,2,7/2/1975,,United States,Iowa,Howard,,Hayden Prairie,,,43.44,-92.38,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745453,FLMNH,MGCL,FLMNH,PreservedSpecimen,,aef0c23a-9794-41c6-b382-6f7128cfcb67,MGCL_1032296,,J.C. Downey,,female,,,,,,7/1/1973,,1973,7,1,7/1/1973,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.4,-95.24,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745454,FLMNH,MGCL,FLMNH,PreservedSpecimen,,193ab942-7b64-4b03-9704-1e8383b9b581,MGCL_1032297,,J.C. Downey,,female,,,,,,6/30/1973,,1973,6,30,6/30/1973,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.4,-95.24,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745455,FLMNH,MGCL,FLMNH,PreservedSpecimen,,2d94db35-83b9-4f17-8591-4dccd1c10974,MGCL_1032299,,R.R. Gatrelle,,male,,,,,,7/1/1975,,1975,7,1,7/1/1975,,United States,Iowa,Howard,,Hayden Prairie,,,43.44,-92.38,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745456,FLMNH,MGCL,FLMNH,PreservedSpecimen,,087fec4a-b563-4ca5-832e-35a1652e53a3,MGCL_1032300,,P. Savage,,female,,,,,,7/6/1986,,1986,7,6,7/6/1986,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.4,-95.24,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745457,FLMNH,MGCL,FLMNH,PreservedSpecimen,,08f7cbbc-725e-41a4-9cc1-2a777ab5cc3a,MGCL_1032301,,J.C. Downey,,male,,,,,,6/30/1973,,1973,6,30,6/30/1973,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.4,-95.24,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745458,FLMNH,MGCL,FLMNH,PreservedSpecimen,,e8d9ba52-2afe-483c-a05d-97fd8c4d6734,MGCL_1032302,,J.C. Downey,,female,,,,,,6/30/1973,,1973,6,30,6/30/1973,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.4,-95.24,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745459,FLMNH,MGCL,FLMNH,PreservedSpecimen,,e54a5da1-95aa-4ab3-946f-d65bbff5abc8,MGCL_1032304,,,,male,,,,,,6/23/2021,,1921,6,23,6/23/2021,,United States,Iowa,Dickinson,,Lake Okoboji,,,43.39,-95.15,WGS84,3000,C. Grinter,,GeoLocate,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745460,FLMNH,MGCL,FLMNH,PreservedSpecimen,,61a94523-f914-4d3b-bb6a-bfb3c39337f0,MGCL_1032305,,J.C. Downey,,male,,,,,,6/30/1973,,1973,6,30,6/30/1973,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.398,-95.245,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745461,FLMNH,MGCL,FLMNH,PreservedSpecimen,,e26bf284-966b-4de3-be80-6ec68b6e858d,MGCL_1032306,,J.C. Downey,,female,,,,,,6/30/1973,,1973,6,30,6/30/1973,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.398,-95.245,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745462,FLMNH,MGCL,FLMNH,PreservedSpecimen,,7f8f01fb-06a6-4e37-a7d9-7e9d24f1575c,MGCL_1032307,,J.C. Downey,,male,,,,,,6/30/1972,,1972,6,30,6/30/1972,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.398,-95.245,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745463,FLMNH,MGCL,FLMNH,PreservedSpecimen,,afb2572c-da9b-49fd-8834-6a1efd80008a,MGCL_1032309,,J.C. Downey,,female,,,,,,7/24/1972,,1972,7,24,7/24/1972,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.398,-95.245,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745464,FLMNH,MGCL,FLMNH,PreservedSpecimen,,0cf0336b-cbdf-4002-9a1c-bd0c08406153,MGCL_1032310,,K. Knight,,male,,,,,,7/1/1975,,1975,7,1,7/1/1975,,United States,Iowa,Howard,,Hayden Prairie,,,43.439,-92.381,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745465,FLMNH,MGCL,FLMNH,PreservedSpecimen,,904f4630-7190-440c-bb7b-4527c55f0fa3,MGCL_1032311,,J.C. Downey,,male,,,,,,7/1/1973,,1973,7,1,7/1/1973,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.398,-95.245,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745466,FLMNH,MGCL,FLMNH,PreservedSpecimen,,3507a678-efe8-48e9-a084-b88b55eb8a0c,MGCL_1032312,,J.C. Downey,,male,,,,,,6/30/1973,,1973,6,30,6/30/1973,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.398,-95.245,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745467,FLMNH,MGCL,FLMNH,PreservedSpecimen,,f2260c6c-d013-4a60-a3d4-8146a3890fa9,MGCL_1032314,,,,female,,,,,,7/14/1983,,1983,7,14,7/14/1983,,United States,Iowa,Emmet,,Estherville,,,43.42,-94.87,WGS84,1130,C. Grinter,,GeoLocate,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745468,FLMNH,MGCL,FLMNH,PreservedSpecimen,,6b11cd2d-e66b-402a-b976-0a5460bf2fbb,MGCL_1032315,,K. Knight,,male,,,,,,7/1/1975,,1975,7,1,7/1/1975,,United States,Iowa,Howard,,Hayden Prairie,,,43.439,-92.381,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745469,FLMNH,MGCL,FLMNH,PreservedSpecimen,,2ba1c566-9c9b-49f0-b6ef-0e8e2eb2202d,MGCL_1032316,,R.R. Gatrelle,,male,,,,,,7/1/1975,,1975,7,1,7/1/1975,,United States,Iowa,Howard,,Bayden Prairie,,,43.439,-92.381,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745470,FLMNH,MGCL,FLMNH,PreservedSpecimen,,ca07777c-50b7-46a0-b55d-0848e853e88f,MGCL_1032317,,P. F. Milner,,female,,,,,,7/6/1992,,1992,7,6,7/6/1992,,United States,Iowa,Dickinson,,Spring Run Reserve,,,43.386,-95.038,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745471,FLMNH,MGCL,FLMNH,PreservedSpecimen,,d026a165-43aa-418e-af9a-71aea1f2ec31,MGCL_1032319,,,,male,,,,,,6/26/2021,,1921,6,26,6/26/2021,,United States,Iowa,Dickinson,,Lake Okoboji,,,43.39,-95.15,WGS84,3000,C. Grinter,,GeoLocate,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745472,FLMNH,MGCL,FLMNH,PreservedSpecimen,,64f56eb1-d5f3-4211-8f18-f898d822a491,MGCL_1032320,,S.M. Spomer,,male,,,,,,6/30/1985,,1985,6,30,6/30/1985,,United States,Iowa,Dickinson,,Canyon Prairie Preserve,,,,,,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745473,FLMNH,MGCL,FLMNH,PreservedSpecimen,,bb29940c-310c-434a-ba2f-4d8f4decddfd,MGCL_1032321,,J.C. Downey,,female,,,,,,6/30/1973,,1973,6,30,6/30/1973,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.398,-95.245,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745474,FLMNH,MGCL,FLMNH,PreservedSpecimen,,54c81003-5a80-4691-bb76-538ddf6a91fd,MGCL_1032322,,S.M. Spomer,,male,,,,,,6/30/1985,,1985,6,30,6/30/1985,,United States,Iowa,Dickinson,,Canyon Prairie Preserve,,,,,,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745475,FLMNH,MGCL,FLMNH,PreservedSpecimen,,564422d0-2912-4f8e-9a41-2bf3e2edd787,MGCL_1032324,,L.D. Miller,,female,,,,,,7/5/1980,,1980,7,5,7/5/1980,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.398,-95.245,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745476,FLMNH,MGCL,FLMNH,PreservedSpecimen,,e635ffb3-e0a2-4d1b-b993-1da30e3a4eb0,MGCL_1032325,,J.C. Downey,,male,,,,,,6/30/1973,,1973,6,30,6/30/1973,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.398,-95.245,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745477,FLMNH,MGCL,FLMNH,PreservedSpecimen,,6f8051cf-68d1-4075-ae30-2ce5c196f1c3,MGCL_1032326,,L.D. Miller,,female,,,,,,7/5/1980,,1980,7,5,7/5/1980,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.398,-95.245,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745478,FLMNH,MGCL,FLMNH,PreservedSpecimen,,5db785d7-d8f2-4c35-8627-10c9f78463d3,MGCL_1032327,,L.D. Miller,,male,,,,,,7/5/1980,,1980,7,5,7/5/1980,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.398,-95.245,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745479,FLMNH,MGCL,FLMNH,PreservedSpecimen,,704694cb-9ec5-42ec-8e3d-fa6559678f17,MGCL_1032329,,J.C. Downey,,male,,,,,,7/1/1973,,1973,7,1,7/1/1973,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.398,-95.245,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745480,FLMNH,MGCL,FLMNH,PreservedSpecimen,,0c1865e2-b28f-4ec4-aaab-c6f483f08605,MGCL_1032330,,R. Romeyn,,female,,,,,,7/12/1996,,1996,7,12,7/12/1996,,United States,Minnesota,Pipestone,,3 mi NE Holland,,,44.12,-96.15,WGS84,4000,M. Belitz,,GeoLocate,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745481,FLMNH,MGCL,FLMNH,PreservedSpecimen,,bb5d3c97-c69d-46b5-99a5-2f9374a70582,MGCL_1032331,,J.C. Downey,,male,,,,,,6/30/1984,,1984,6,30,6/30/1984,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.398,-95.245,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745482,FLMNH,MGCL,FLMNH,PreservedSpecimen,,bea016a5-a822-4e51-ba74-72a8fd5ebec5,MGCL_1032332,,J.C. Downey,,male,,,,,,7/1/1973,,1973,7,1,7/1/1973,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.398,-95.245,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745483,FLMNH,MGCL,FLMNH,PreservedSpecimen,,1b7337f1-4c35-49b6-8424-921d80648095,MGCL_1032335,,L.D. Miller,,male,,,,,,7/5/1980,,1980,7,5,7/5/1980,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.398,-95.245,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745484,FLMNH,MGCL,FLMNH,PreservedSpecimen,,e414ecb7-7997-4d64-838d-185f8df813a1,MGCL_1032340,,W.A. Miller,,female,,,,,,7/14/1979,,1979,7,14,7/14/1979,,United States,Michigan,Jackson,,"T4S, R1W, Sec. 29",,,42.092,-84.455,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745485,FLMNH,MGCL,FLMNH,PreservedSpecimen,,7f831302-2707-47bf-a5d9-6e3ff0b509b3,MGCL_1032344,,J.C. Downey,,male,,,,,,7/6/1980,,1980,7,6,7/6/1980,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.398,-95.245,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745486,FLMNH,MGCL,FLMNH,PreservedSpecimen,,559b5ebf-d39d-4e04-b44d-e99d24fbe135,MGCL_1032349,,J.C. Downey,,male,,,,,,6/30/1984,,1984,6,30,6/30/1984,,United States,Iowa,Dickinson,,Cayler Prairie Preserve,,,43.398,-95.245,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745487,FLMNH,MGCL,FLMNH,PreservedSpecimen,,28cc0796-fbbd-4d80-8765-a9281d29ed0d,MGCL_1032350,,J. Preston|F. Preston,,female,,,,,,7/7/1986,,1986,7,7,7/7/1986,,United States,South Dakota,Marshall,,W edge of Sica Hollow State Park,,,45.746,-97.227,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745488,FLMNH,MGCL,FLMNH,PreservedSpecimen,,3219b4d6-091e-4ba6-aff2-b3b6376a4965,MGCL_1032354,,W.A. Miller,,male,,,,,,7/19/1983,,1983,7,19,7/19/1983,,United States,Michigan,Jackson,,Liberty twp S 29,,,42.092,-84.455,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
,http://creativecommons.org/publicdomain/zero/1.0/,"Florida Museum of Natural History, McGuire Center",Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=29745489,FLMNH,MGCL,FLMNH,PreservedSpecimen,,097b8601-a1e6-4590-82fc-dbc016d8e8bf,MGCL_1032355,,V.P. Lucas,,male,,,,,,7/10/1984,,1984,7,10,7/10/1984,,United States,Michigan,Jackson,,"Liberty Bog, 2700 Liberty Road, T4S, R1W, Sec. 29",,,42.092,-84.455,WGS84,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
